id,title,authors,publisher,publishedDate,categories,averageRating,ratingsCount,pageCount,language,description
HlWTGIGF-28C,The Reality - Fiction Opposition in Children's Literature,Adrian Zagler,GRIN Verlag,2011,Language Arts & Disciplines,,,81,en,"Bachelor Thesis from the year 2010 in the subject English Language and Literature Studies - Literature, grade: 1, University of Graz, language: English, abstract: Since the 1970s, scholarly interest in children's literature has grown, and numerous studies looking into the complexity and thematic and structural depth of the texts have been published. Simultaneously, the notion of metareferentiality has sparked interest among scholars from various disciplines. Metareferentiality, though not unique"
TOPDLotW6oAC,"Science Fiction Analysis: Philip K. Dick's ""Do Androids Dream of Electric Sheep?""",Michael Kratky,GRIN Verlag,2007,Biography & Autobiography,,,25,en,"Seminar paper from the year 2006 in the subject American Studies - Literature, grade: 1,00, Catholic University Eichstätt-Ingolstadt (Sprach- und Literaturwissenschaftliche Fakultät), course: Novel and Film, 10 entries in the bibliography, language: English, abstract: ""Do Androids Dream of Electric Sheep?"" is one out of at least six novels by Philip K. Dick that deal substantially with the questions surrounding androids. It is exactly the distortion between the real as the jumping-off point cite"
u5dAAQAAMAAJ,"Outing; Sport, Adventure, Travel, Fiction",,,1920,Sports,,,338,en,
32ySDAAAQBAJ,"Love and Sexuality in Dystopian Fiction. An Analysis of ""Brave New World"" and ""Nineteen Eighty-Four""",Lena Gräf,GRIN Verlag,2016-04-26,Literary Criticism,,,24,en,"Seminar paper from the year 2015 in the subject English Language and Literature Studies - Literature, grade: 2,3, , language: English, abstract: This term paper is supposed to deal with how love and sex are depicted in “Brave New World” and “1984”, and if there are any similarities between them. Furthermore we will take a brief look at differences and similarities to love and sex in our society. What is the attitude towards marriage these days? And what is the role of love in all of that? After "
RTZMAAAAMAAJ,History of Prose Fiction,John Colin Dunlop,,1896,Fiction,,,722,en,
Y0Dt-3UvqO8C,"Character Sketches of Romance, Fiction and the Drama",Ebenezer Cobham Brewer,,1896,Allusions,,,372,en,
xwFaAAAAMAAJ,The Jew in English Fiction,David Philipson,Cincinnati : Robert Clarke,1889,English fiction,,,172,en,
-ihaAAAAMAAJ,"British Modernist Fiction, 1920 to 1945",Harold Bloom,Chelsea House,1986,Literary Criticism,,,448,en,"Collects essays on the fiction of the principal British novelists from the period between the two world wars, with discussions on such authors as James Joyce, D. H. Lawrence, Virginia Woolf, Wyndham Lewis, and Evelyn Waugh. Bibliog."
GbUaAAAAMAAJ,Fiction Catalog,H.W. Wilson Company,,1931,Best books,,,228,en,Includes an abridged edition of 1908 catalog issued under title: English prose fiction ... list of about 800 title.
V4IPAQAAMAAJ,"1981-1985 Supplement to Crime Fiction, 1749-1980",Allen J. Hubin,New York : Garland Pub.,1988,Reference,,,296,en,
i04EAAAAYAAJ,Analog Science Fiction/science Fact,,,1971,Science fiction,,,1082,en,
PaVaAAAAMAAJ,"Hugo Gernsback, Father of Modern Science Fiction",Mark Siegel,Millefleurs,1988,Literary Criticism,,,104,en,
wPJZAAAAMAAJ,Black Fiction,A. Robert Lee,,1980,Literary Criticism,,,264,en,
14W0AAAAIAAJ,The Magazine of Fantasy and Science Fiction,"Anthony Boucher, J. Francis McComas",,1984,Fantasy fiction,,,500,en,
UuIiAQAAMAAJ,Post-colonial African Fiction,Mala Pandurang,,1997,History,,,232,en,This Study Examines The Post-Colonial African Fiction As The `Narrative Of Liberation' And Explores The `Modes Of Resistance' Evolved By African Novelists.
KfA7AQAAMAAJ,The Fiction Writer's Workshop,Duncan Francis Young,,1909,Authorship,,,102,en,
WPEmJxUQuHoC,Science Fiction Masterpieces,Isaac Asimov,BBS Publishing Corporation,1986,Fiction,,,640,en,A collection of 59 greatest fiction stories selected by the master himself.
uJ5kAAAAMAAJ,Fiction and Economy,"Susan Bruce, Valeria Wagner",Palgrave MacMillan,2007-06-15,Language Arts & Disciplines,,,216,en,This is a collection of new essays by European and British scholars on the intersections between fiction and economy.
35xlAAAAMAAJ,Indian Fiction in English,Dr. R. S. Pathak,,1990,Indic fiction (English),,,208,en,
hJ-kwKy_WQIC,The Chapter in Fiction,Philip Stevick,"Syracuse, N.Y. : Syracuse University Press, c1970 .",1970,Literary Criticism,,,200,en,
eg02C6wILwcC,Prentice Hall Literature Penguin Edition Teaching Resources Unit 1: Fiction and Nonfiction Grade 8 2007c,Prentice Hall (School Division),Prentice Hall,2005-07,Education,,,244,en,"Prentice Hall Literature, Penguin Edition ((c)2007) components for Grade 8."
UIL1KOhhDLwC,Great Tales of the Golden Age of Science Fiction,,BBS Publishing Corporation,1991,Fiction,,,488,en,"The nine outstanding short novels in this collection of bestselling authors are as relevant today as when they first appeared during the l940's. These representative works by Theodore Sturgeon, Jack Williamson, Isaac Asimov, A.E. van Vogt, Ross Rocklynne, Lester del Rey, A. Bertam Chandler, T.L. Sherred and C.L. Moore are some of the best short science fiction novels of any time. $22.95 value."
erYkAAAAMAAJ,Diversity and Depth in Fiction,Angus Wilson,London : Secker & Warburg,1983,Literary Criticism,,,328,en,Verzameling literaire essays en kritieken van de Britse auteur en criticus (geb. 1913)
bz9aAAAAMAAJ,Heroines of Fiction,William Dean Howells,,1903,Fiction,,,350,en,
vl0OAAAAIAAJ,The Makers of English Fiction,William James Dawson,,1905,"Authors, English",,,352,en,
Mx9bAAAAMAAJ,Refusal and Transgression in Joyce Carol Oates' Fiction,Marilyn C. Wesley,Praeger,1993-05-18,Literary Criticism,,,200,en,This comprehensive and sophisticated feminist analysis contradicts the negative evaluations of earlier feminist critics to define Oates' feminist accomplishments. Wesley presents Oates' fiction as a dynamic structure that grew out of her obsessive concern with the American family and shows her literary patterns of resistance to the gender ideology that shapes it. She illustrates how Oates' disturbing portrayals of troubled families can and do address complex issues of power in contemporary socie
LRJbAAAAMAAJ,The Method of Melville's Short Fiction,R. Bruce Bickley,"Durham, N.C. : Duke University Press",1975,Language Arts & Disciplines,,,168,en,The relationship between literary technique and vision in Melville may be closer in the short stories of the 1850s than anywhere else in his fiction.
_OILAQAAMAAJ,The Imaginary Voyage in Prose Fiction,Philip Babcock Gove,,1941,Fiction,,,478,en,
Tfo8DmnRDrEC,The Renaissance. Education ... fiction,Delphian Society,,1913,Civilization,,,564,en,
pUxLAQAAMAAJ,Missouri Short Fiction,Conger Beasley,,1985,Fiction,,,192,en,
O04yAQAAMAAJ,"English Prose Fiction in the Free Public Library, Newark",Newark Public Library,,1900,English fiction,,,136,en,
_QHRAAAAMAAJ,"Early American Fiction, 1774-1830",Oscar Wegelin,New York : P. Smith,1929,American fiction,,,56,en,
krWkM9JtAFIC,Macfadden Fiction-lovers Magazine,,,1908,,,,174,en,
WRD0FpLu4D0C,The Structure and Ideology of Romance Fiction,Michael Andrew Young,,1988,,,,302,en,
1HgqAAAAYAAJ,The Best from Fantasy and Science Fiction,Robert Park Mills,,1955,Fantasy fiction,,,264,en,
NzlZAAAAMAAJ,The Architecture of Imagery in Alberto Moravia's Fiction,Janice M. Kozma,Unc Department of Romance Studies,1993,Literary Criticism,,,138,en,SELECTED BIBLIOGRAPHYINDEX; Back Cover.
XZc0AAAAMAAJ,Woman's Work in English Fiction,Clara Helen Whitmore,,1909,"Authors, English",,,336,en,
CUzTAAAAMAAJ,The Imagery of Molloy and Its Extension Into Beckett's Other Fiction,Philip H. Solomon,,1967,,,,614,en,
Js83AAAAMAAJ,Critical Survey of Long Fiction,Frank Northen Magill,,1984,Fiction,,,526,en,A comprehensive study of long fiction authors writing in languages other than English and of the development of the genre in various geographic regions.
L1o6AAAAMAAJ,A Guide to British Historical Fiction,"John Anthony Buckley, William Tom Williams",,1912,Great Britain,,,200,en,
8kbI_8skW2EC,"The Siskiyou Pioneer in Folklore, Fact and Fiction",,,1958,,,,526,en,
sFUWAQAAIAAJ,The Immigrant Experience in American Fiction,Roberta Simone,,1995,Reference,,,240,en,"Over 600 descriptive citations. Comprehensive coverage from the late 19th century through the first half of 1994 of adult and young adult novels, collections of stories, anthologies, and secondary sources."
6LJpnHlWU7AC,Fiction Catalog,,,1928,Best books,,,72,en,
EfWfXIMCSMAC,"A Directory of American Poets and Fiction Writers, 1994-1996","Poets & Writers, Inc",Poets & Writers,1994-12,Literary Criticism,,,332,en,'Names and addresses of contemporary poets and fiction writers whose work has been published in the United States.'
Qg-03C7_ln0C,Encyclopaedia of Religion and Ethics: Fiction- Hyksos,"James Hastings, John Alexander Selbie",,1914,Ethics,,,910,en,
_uJUSW-mRCwC,"The Harvard Classics Shelf of Fiction, Volume 16",Leo Tolstoy,,1917,Fiction,,,636,en,
lkxAAAAAYAAJ,Facts and Fiction,Nachman Heller,,1916,Jews,,,264,en,
nMXm5V8qZssC,Fiction Writing Self-taught,Arthur Sullivant Hoffman,,1939,Fiction,,,232,en,
L9NlAAAAMAAJ,Harpercollins Book Of New Indian Fiction,Khushwant Singh,HarperCollins,2005-02-16,Fiction,,,220,en,"In this unparalleled collection of short stories, The HarperCollins Book of New Indian Fiction presents an absorbing view of one of the most fertile literary landscapes in the world. Traversing continents and orbits, styles and themes, in rich, original and frequently surprising ways, the stories testify to the range and depth of Indian writing in English. Variously lyric, satiric, tragic and fantastic, they are unified in their vigour and humanity. T The anthology features a rich assortment of "
IqHQAAAAMAAJ,Pearson's Magazine,,,1902,English fiction,,,692,en,
vHFLAQAAMAAJ,Bulletin,Florida. State Dept. of Education,,1962,,,,650,en,
MVFVAAAAYAAJ,Library Journal,,,1980,Libraries,,,1502,en,
OTB1OfPQp3cC,2004 Novel and Short Story Writer's Market,"Anne Bowling, Michael Schweer, Vanessa Lyman",,2003,Language Arts & Disciplines,,,694,en,"Lists addresses and information on contacts, pay rates, and submission requirements, and includes essays on the craft of writing."
KpHWAAAAMAAJ,Toward Theme in Short Fiction,David K. Himber,,1973,College readers,,,404,en,
n-EQAAAAIAAJ,"Supplement No.2 to the Alphabetical Finding List of the Free Public Library of Jersey City, N.J. Jan. 1893",Free Public Library of Jersey City,,1891,Bibliog. cats. Lib. (Pub.) United States New Jersey Jersey City,,,564,en,
fhruAAAAMAAJ,The Overlook Film Encyclopedia,Phil Hardy,Overlook Books,1995,Performing Arts,,,516,en,Coverage: 1895-1994.
7xoPAQAAMAAJ,"Dictionary Catalog of the Research Libraries of the New York Public Library, 1911-1971",New York Public Library. Research Libraries,,1979,Library catalogs,,,558,en,
3xgPAQAAMAAJ,British Books in Print,,,1979,Great Britain,,,1438,en,
xxUbAAAAMAAJ,Papers and Proceedings,American Library Association. Annual Conference,,1928,Library science,,,1010,en,
7cJWAAAAYAAJ,International Index to Periodicals,,,1924,Humanities,,,1528,en,"An author and subject index to publications in fields of anthropology, archaeology and classical studies, economics, folklore, geography, history, language and literature, music, philosophy, political science, religion and theology, sociology and theatre arts."
HT4xAQAAMAAJ,The Optical Journal and Review of Optometry. ...,,,1923,,,,1026,en,
SD9C94lK9esC,Women of Faith Fiction Collection,"Lori Copeland, Patricia Hickman, Angela Elwell Hunt, Terri Blackstock",Thomas Nelson,2005-09,Fiction,,,900,en,"Now collected in one volume are three favorite titles: ""Sandpebbles, Strandedin Paradise,"" and ""The Pearl."""
uRrkAAAAMAAJ,Canadian Women's Periodicals Index,,,1990,Women's periodicals,,,396,en,
g90vAQAAMAAJ,Library of American Fiction,,,1904,,,,216,en,
arkbrL1c1roC,CEA Critic,,,1956,English language,,,796,en,
tjo4AAAAIAAJ,Catalog of Reprints in Series,,,1950,Editions,,,240,en,
I50VlNivTiAC,Author and Journalist,,,1925,,5,1,400,en,
_5nlAAAAMAAJ,Dictionary Catalog of the National Agricultural Library,National Agricultural Library (U.S.),,1967,Agriculture,,,800,en,
rURVAAAAYAAJ,Quill & Quire,,,1987,Book industries and trade,,,570,en,
vwoND55vf4gC,"Report of a Survey of the Public Library Situation at Milford, Conn",Joseph Lewis Wheeler,,1947,Libraries,,,54,en,
whQjAQAAMAAJ,淡江評論,,,2000,Chinese literature,,,824,en,A quarterly of comparative studies of Chinese and foreign literatures.
bH1MAAAAMAAJ,Readers' Guide to Periodical Literature,,,1926,Periodicals,,,1246,en,
DS8CAAAAQAAJ,Altavona. Fact and Fiction from My Life in the Highlands,John Stuart Blackie,,1882,,,,692,en,
HZWwAAAAIAAJ,Fiction!,"Dan Tooker, Roger Hofheins",Harcourt Brace Jovanovich Incorporated,1976,Biography & Autobiography,,,224,en,
6qfWAAAAMAAJ,A Treasury of North American Fiction,"Harper's Magazine Staff, Harpers Magazine",Popular Culture Ink,1991,Literary Collections,,,552,en,A collection of short stories published in HARPER'S MAGAZINE which featured early writings of many individuals who have since become noted masters of literature.
dbg-AQAAMAAJ,The Harvard Classics Shelf of Fiction,Charles Dickens,,1917,,,,504,en,
lOijDwAAQBAJ,Italian Science Fiction,"Simone Brioni, Daniele Comberiati",Springer,2019-07-18,Literary Criticism,,,298,en,"This book explores Italian science fiction from 1861, the year of Italy’s unification, to the present day, focusing on how this genre helped shape notions of Otherness and Normalness. In particular, Italian Science Fiction draws upon critical race studies, postcolonial theory, and feminist studies to explore how migration, colonialism, multiculturalism, and racism have been represented in genre film and literature. Topics include the role of science fiction in constructing a national identity; t"
